,page_url,image_url,author,title,annotation,genre
0,https://www.biblio-globus.ru/product/10567224,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10567224.jpg,Гоголь Н. В. ,Нос,"Подарочное издание классического произведения Н.В. Гоголя ""Нос"", с иллюстрациями современного художника-графика Олега Корытова. Дизайн обложки - блинтованное тиснение на брутальном крафте в обрез.    Сам текст произведения нагружен разными параллельными пространствами, понятными только главным героям – майору Ковалеву и его носу. Использование конструкции книги помогает превратить это в композиционно-пространственную игру.",Классическая литература
1,https://www.biblio-globus.ru/product/10894146,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10894146.jpg,Набоков В.В. ,Поэмы 1918-1947. Жалобная песнь Супермена,"Все мы привыкли думать о Владимире Набокове как о великолепном прозаике, уникальном, ни на кого не похожем стилисте. Широкой публике гораздо менее известен Набоков-поэт. В настоящее издание вошли как известные, так и никогда ранее не публиковавшиеся поэмы. “Легенда о луне”, “Электричество”, “На севере диком”, “Olypicu” публикуются впервые. Также впервые опубликована “Жалобная песнь Супермена”, написанная в Америке вскоре после переезда.В поэзии, в силу сжатости формы, отчетливее видны основные темы творчества Набокова. Каждая поэма этого сборника если не о возвращении – то о невозможности вернуться: “Мне хочется домой. Довольно. Качурин, можно мне домой?”",Классическая литература
2,https://www.biblio-globus.ru/product/10893153,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10893153.jpg,Набоков В. В.,Истинная жизнь Севастьяна Найта,"«Истинная жизнь Севастьяна Найта» — первый англоязычный роман Владимира Набокова, оконченный в 1939 году в Париже и два года спустя опубликованный в США. Его лабиринтообразная структура и квазидетективный сюжет предопределили своеобразие последующей прозы Набокова — «Лолиты», «Бледного огня», «Ады» и особенно его последней завершенной книги «Взгляни на арлекинов!». Повествователь, означенный лишь инициалом В., восстанавливает историю жизни собственного сводного брата, покойного писателя Севастьяна Найта (Sebastian Knight), используя воспоминания, устные рассказы и отрывки из его книг. Ускользающая от настойчивых поисков В., истинная жизнь Найта оказывается непосредственно связанной с тайной его имени, с его сочинениями, с законами словесного искусства и с метафизикой Набокова. Настоящее издание романа сопровождается предисловием, примечаниями и заключительным очерком переводчика. Сохранены особенности орфографии, пунктуации и транслитерации переводчика.",Классическая литература
3,https://www.biblio-globus.ru/product/10044586,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10044586.jpg,Толстой Л. Н.,Война и мир. В 2 т.,"«Война и мир» Л. Н. Толстого — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый бал Наташи Ростовой, лунная ночь в Отрадном, князь Андрей в сражении при Аустерлице... Сцены «мирной», семейной жизни сменяются картинами, имеющими значение для хода всей мировой истории, но для Толстого они равноценны, связаны в едином потоке времени. Каждый эпизод важен не только для развития сюжета, но и как одно из бесчисленных проявлений жизни, которая насыщена в каждом своем моменте и которую учит любить Толстой.",Классическая литература
4,https://www.biblio-globus.ru/product/10887280,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10887280.jpg,Олкотт Л.М. ,Маленькие женщины,"В Америке началась Гражданская война, глава семейства Марч ушел на фронт, а все заботы по дому легли на плечи его жены и дочерей. Старшая из сестер, шестнадцатилетняя Маргарет - женственная и романтичная красавица с прекрасными манерами. Джо - настоящий сорванец в юбке, ей пятнадцать и она лазает по деревьям, бегает наперегонки с друзьями, катается на коньках, а может даже и подраться. Тринадцатилетняя Бесс - застенчивая и робкая девочка с добрейшим сердцем, сущий ангелочек и любимица всей семьи. Самой младшей двенадцать - положительные и отрицательные качества тесно переплетены в Эми и находятся в очень хрупком равновесии. Сестры такие разные, такие неповторимые. Но они сообща справляются с трудностями, испытывают горести и радости, мечтают о будущем и проходят непростой путь взросления.",Классическая литература
5,https://www.biblio-globus.ru/product/10902606,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10902606.jpg,Толстой Л.Н. ,Анна Каренина,"В мире, где сильны традиции, где правят предрассудки и непоколебимые стереотипы, где чувства принято держать под контролем, беда тому, кто осмелится послушаться своего сердца. Ведь сердце не знает правил, а итог может оказаться совершенно непредсказуемым. Величайшая история невозможной любви, разрушающей привычные представления об отношениях мужчины и женщины. Один из самых знаменитых романов Льва Толстого повествует о трагичной любви замужней дамы высшего света Анны Каренины к блестящему офицеру Вронскому, и счастливой семейной жизни Константина Левина и Кити Щербацкой.",Классическая литература
6,https://www.biblio-globus.ru/product/10835727,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10835727.jpg,Старшинов А,Завещание императора,"Дакия разгромлена. Римский император Траян— победитель, вРиме он выстроил новый грандиозный Форум как символ своей победы. Его центурион Гай Приск вернул себе имущество отца извание римского всадника. Он женат исчастлив. Но мирная жизнь— не втрадициях последнего римского императора-завоевателя. Грядет новая война. На этот раз сПарфией. Император собирает огромную армию, ветераны Дакийских войн будут теперь воевать на Востоке. Соратники императора уверены влегкой ибыстрой победе. Только Адриан выступает против новой войны, но Траян не желает слушать племянника. Император уже немолод. Кто встанет во главе Империи, если Траян умрет? Составил ли император завещание, отправляясь вновый поход? Официально наследник так ине объявлен.Эта книга является продолжением романов «Век Траяна», «Центурион Траяна» и«Наследник императора», ранее опубликованных вэтой же серии.",Классическая литература
7,https://www.biblio-globus.ru/product/10275510,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10275510.jpg,Гёте И. В.,Малое собрание сочинений,"Иоганн Вольфганг Гёте - поэт, общественный деятель, мыслитель и естествоиспытатель, проживший жизнь, богатую яркими событиями, впечатлениями и кипучей деятельностью, - составляет вечную гордость и славу Германии. В настоящем томе представлена лишь часть бессмертного наследия великого поэта: в том включены созданные им баллады, роман ""Страдания юного Вертера"" (в новом переводе Романа Эйвадиса), поэма ""Герман и Доротея"", а также знаменитая, ставшая вершиной мировой литературы трагедия ""Фауст"", посвященная вечным темам познания жизни и трудности человеческого пути.",Классическая литература
8,https://www.biblio-globus.ru/product/10182039,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10182039.jpg,Лондон Дж.,Смок Беллью ; Смок и Малыш,"Два цикла рассказов американского писателя Джека Лондона, «Смок Беллью» и «Смок и Малыш» (1911), объединены образом главного героя — молодого писателя из Сан-Франциско, который променял унылую жизнь газетного клерка на увлекательную, хотя и полную невзгод и опасностей участь искателя приключений и золота в диких просторах Аляски и прославился в северных землях под именем Смок Беллью. Познакомившись и подружившись с еще одним новичком Клондайка по прозвищу Малыш, Смок проходит через множество взлетов и падений — изобретает собственную систему игры в рулетку и зарабатывает целое состояние; едва не погибает в поисках легендарных Двух Срубов и Нежданного озера, дно которого, по слухам, усыпано золотыми самородками; участвует в гонке на собачьих упряжках, победителю которой обещан богатый участок на ручье Моно; втягивается в хитроумную аферу с куриными яйцами, затеянную певичкой Люсиль Эрол, не подозревая об истинной цели предприятия; организует ответную аферу с мифическим поселком Тру-ля-ля; попадает в плен к кочевому индейскому племени, где в него влюбляется прекрасная дочь вождя...",Классическая литература
9,https://www.biblio-globus.ru/product/10886876,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10886876.jpg,Булгаков М.,"&quot;Мне нужно видеть свет...&quot;. Дневники, письма, документы","В настоящее издание включены дневники и письма, атакже документальные материалы, освещающие жизненный и творческий путь М. А. Булгакова с 1914 по 1940 г. По сути это не что иное, как его жизнеописание, составленное по дневникам и эпистолярному наследию. Среди адресатов писем Булгакова — В. В. Вересаев, Е. И. Замятин, А. М. Горький, К. С. Станиславский, И. В. Сталин. Эти документы, не предназначенные автором для публикации, фиксировали ту или иную жизненную ситуацию и, расположенные в хронологическом порядке, с поразительной объективностью отражают ключевые моменты в судьбе и творческой биографии. Кроме того, они содержат ценнейшую информацию о личных качествах и круге интересов Булгакова, о его отношении к происходившим в России событиям, к ближайшему окружению, писательскому и театральному миру.",Классическая литература
10,https://www.biblio-globus.ru/product/10747756,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10747756.jpg,Лермонтов М.Ю.,Герой нашего времени,"«Герой нашего времени» — самое крупное и значительное произведение Михаила Юрьевича Лермонтова, первый в русской литературе социально-психологический роман, герой которого, молодой офицер Григорий Печорин, стал поистине ярким представителем своей эпохи. Литературный критик Белинский отмечал: «Вот книга, которой суждено никогда не стариться, потому что при самом рождении её она была вспрыснута живою водою поэзии! Эта старая книга всегда будет нова».Структура романа уникальна: каждую из глав, расположенных не в хронологическом порядке, можно отнести к отдельному литературному жанру, но вместе они образуют органичное и цельное произведение. Все истории и персонажи служат лишь фоном, на котором разворачивается драматическая судьба человека с душой, кипящей от потаённых страстей, но при этом холодного и эгоистичного.Иллюстрации к роману Анатолий Зиновьевич Иткин создавал на протяжении тридцати лет. Художник побывал на Северном Кавказе, чтобы проникнуться атмосферой описанных в книге мест и передать её в графических работах, раскрывающих перед читателем сложный и многообразный внутренний мир главного героя.",Классическая литература
11,https://www.biblio-globus.ru/product/10623698,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10623698.jpg,Саган Ф.,"Через месяц, через год","Франсуаза Саган называли Мадемуазель Шанель от литературы. Начиная с самого первого романа «Здравствуй, грусть!» (1954), наделавшего немало шума, ее литературная карьера складывалась блестяще, она с удивительной легкостью создавала книгу за книгой, их переводили на различные языки и они разлетались по свету миллионами экземпляров. «Через месяц, через год» - в этом странном романе все герои Саган любят невпопад и все они одиноки. Николь любит своего мужа Бернара, который любит Жозе, которая влюблена в Жака. Фанни любит своего мужа Аллена, он же потерял голову от Беатрис. Эта, впрочем, любит себя и свой успех на театральных подмостках. В этой грустной фарандоле все одиноки. Жар счастливых мгновений быстро сменяется душевным ознобом. Остается  гадать, что будет с ними через месяц, через год.",Классическая литература
12,https://www.biblio-globus.ru/product/10571781,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10571781.jpg,Достоевский Ф. М.,Бесы,Роман великих пророчеств.,Классическая литература
13,https://www.biblio-globus.ru/product/10517619,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10517619.jpg,Диккенс Ч.,"Торговый дом Домби и Сын : Торговля оптом, в розницу и на экспорт : роман","«Я беру на себя смелость полагать, что способность (или привычка) пристально и тщательно наблюдать человеческие характеры — редкая способность», – писал Диккенс в предисловии ко второму изданию романа «Торговый дом “Домби и сын”. Торговля оптом, в розницу и на экспорт». Виртуозность и глубина портретных и психологических характеристик, а также непреходящая актуальность подмеченного автором противоречия между традиционными семейными, общечеловеческими ценностями и условиями общества, в котором всем заправляет капитал, уже более чем полтора века убеждает читателей в том, что этой способностью Чарльз Диккенс владел мастерски.",Классическая литература
14,https://www.biblio-globus.ru/product/10405217,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10405217.jpg,Лондон Дж.,Любовь к жизни,"Рассказы Джека Лондона, включенные в сборники «Любовь к жизни» (1907) и «Потерявший Лицо» (1910), вновь возвращают читателя к увлекательным странствиям, рискованным приключениям и суровым испытаниям, которые автору довелось пережить в молодости на заснеженных просторах американского Севера. Из вереницы собственных впечатлений и историй, поведанных старожилами этого края, на страницах книги возникает особый, неповторимый в своей безмолвной и аскетичной красоте мир – мир, где запредельный холод лишь распаляет людские страсти, где легко наживаются состояния и в один миг разбиваются последние надежды, где выковываются характеры и непоправимо ломаются судьбы; мир, где человек и природа вновь и вновь испытывают друг друга на прочность и где наперекор ледяному дыханию смерти люди и звери безостановочно движутся вперед, влекомые неистребимой любовью к жизни…",Классическая литература
15,https://www.biblio-globus.ru/product/10357343,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10357343.jpg,Сэлинджер Дж. Д.,Ловец на хлебном поле,"Знаменитый роман Дж. Д. Сэлинджера ""The Catcher in the Rye""  в переводе Макса Немцова. Перевод без цензуры и ""без купюр"". Непричесанный сленг главного героя  Холдена Колфилда еще ярче воссоздает его обостренное восприятие действительности и неприятие общих канонов и морали современного общества. Единственный роман Сэлинджера стал переломной вехой в истории мировой литературы.У читателя есть выбор и возможность сравнить классический перевод Риты Райт Ковалевой и современную качественную работу  Макса Немцова.?",Классическая литература
16,https://www.biblio-globus.ru/product/10889085,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10889085.jpg,Тургенев И.С.,Записки охотника,"«Записки охотника» — одно из лучших произведений, описывающее жизнь и быт русской провинции, а еще образец литературного языка, которым так блестяще владел Иван Сергеевич Тургенев.Иллюстрации Ани и Вари Кендель как нельзя лучше отображают замысел автора и являются поистине идеальным украшением данного издания.",Классическая литература
17,https://www.biblio-globus.ru/product/10864741,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10864741.jpg,Лондон Дж. ,Маленькая хозяйка Большого дома,"Дик и Паола – идеальная пара. Сдержанный Дик полностью погружен в работу, да и энергичная Паола сама занимается делами. Их жизнь кипит – в Большом доме часто бывают гости и некогда скучать. Для личного общения у супругов почти нет времени. Однажды к ним приезжает давний друг Дика и перед героиней встает внезапный вопрос, что выбрать – любовь и стабильность или страсть и давно забытую радость жизни?Джек Лондон считал «Маленькую хозяйку Большого дома» своим лучшим произведением. Полный хитросплетений и интриг роман показывает мощь и глубину чувств, которые способна порождать любовь.",Классическая литература
18,https://www.biblio-globus.ru/product/10708999,https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10708999.jpg,Миллер М.,Цирцея,"Цирцея – дочь великого титана Гелиоса, бога солнца, который каждый день озаряет собой небосвод. Но своей божественной природы она почти не ощущает: брат и сестра издеваются над ней, мать не выносит звуков ее голоса, а отец едва обращает на нее внимание. Еще ребенком она присутствует на судилище над Прометеем, могущественным титаном, пожертвовавшим своей свободой ради благополучия смертных, и эта встреча навсегда меняет её жизнь. Как и встреча с Главком, бедным молодым рыбаком, ради которого Цирцея совершает нечто столь невероятное, что даже сам златоокий Гелиос и Зевс-громовержец приходят в замешательство и решают отправить ее в изгнание на необитаемый остров Ээя. И вот тут-то и начинается самое интересное.",Классическая литература
